iter	Logloss
0	0.6526329545
1	0.6133027667
2	0.5798766982
3	0.5526850367
4	0.5308118895
5	0.509053733
6	0.4879154679
7	0.4685500747
8	0.4549850547
9	0.4390535417
10	0.4293385396
11	0.4175546642
12	0.4083953088
13	0.398002274
14	0.3879338366
15	0.3773692295
16	0.3684199835
17	0.3610217502
18	0.3536215136
19	0.3468530441
20	0.3388497366
21	0.3321408325
22	0.3253064101
23	0.3202284099
24	0.3155486116
25	0.3081340001
26	0.3019746942
27	0.2969173763
28	0.2909341417
29	0.285616941
30	0.2800053318
31	0.2759671197
32	0.271453742
33	0.2658989143
34	0.2630028493
35	0.259775289
36	0.2545421556
37	0.2509569349
38	0.2468028127
39	0.2442314996
40	0.2407178516
41	0.2370816147
42	0.2335322734
43	0.2301778285
44	0.2263191038
45	0.2209285819
46	0.2165168227
47	0.2132721607
48	0.209481112
49	0.2067410005
50	0.2034385615
51	0.2001064269
52	0.1969325385
53	0.1939890015
54	0.1910376116
55	0.1883731015
56	0.1860786087
57	0.1833911522
58	0.1796130782
59	0.1768504211
60	0.1749711399
61	0.1721823472
62	0.1701324773
63	0.1672333682
64	0.1647917355
65	0.1623279087
66	0.1603130405
67	0.1581710198
68	0.1562788956
69	0.1540426387
70	0.1521880666
71	0.1500473226
72	0.1481375186
73	0.1457678551
74	0.1435911215
75	0.1412639426
76	0.1391182812
77	0.1372353022
78	0.1357050028
79	0.1344946351
80	0.1326544087
81	0.1306752564
82	0.128848297
83	0.1267001958
84	0.1250980781
85	0.1239501529
86	0.1216034154
87	0.1198867733
88	0.1182597296
89	0.1167793652
90	0.115333845
91	0.1140912391
92	0.1125627373
93	0.1112173738
94	0.1097735921
95	0.1083572404
96	0.1065892222
97	0.1046557168
98	0.1031054419
99	0.101751376
100	0.1003058803
101	0.09875728775
102	0.09710288884
103	0.09581202408
104	0.09450630143
105	0.09325942782
106	0.09174234531
107	0.09054811608
108	0.08913663706
109	0.08777580062
110	0.08676459077
111	0.08547075709
112	0.08425196029
113	0.08316571593
114	0.08183072916
115	0.08069946733
116	0.07973827457
117	0.07847488216
118	0.07733988336
119	0.07621543965
120	0.0751072084
121	0.07421205212
122	0.07321604073
123	0.0719899709
124	0.07117165993
125	0.07006607797
126	0.06918015071
127	0.06835127025
128	0.06752117102
129	0.06659798296
130	0.06587557224
131	0.06510583123
132	0.06428297445
133	0.06343920548
134	0.06286371103
135	0.06214696004
136	0.06151055313
137	0.06071910743
138	0.0601133761
139	0.05926782645
140	0.05856972786
141	0.05756410344
142	0.05683020172
143	0.05616358821
144	0.05548282219
145	0.05471513144
146	0.05410956685
147	0.05318270873
148	0.05253779257
149	0.05173562366
150	0.05104458907
151	0.05052850049
152	0.04988732351
153	0.04939592058
154	0.04885880055
155	0.04835791766
156	0.04780606999
157	0.04713413213
158	0.04658157191
159	0.04605987869
160	0.04549602579
161	0.04501115302
162	0.04462834569
163	0.04408060768
164	0.04352645852
165	0.04306706789
166	0.04267621914
167	0.04219020819
168	0.04191334604
169	0.04145519133
170	0.04104148297
171	0.04057725609
172	0.04014530678
173	0.03977899128
174	0.0393261406
175	0.03893248793
176	0.0385838997
177	0.03816955887
178	0.03773663145
179	0.03733453965
180	0.03700678707
181	0.03659965303
182	0.03615539552
183	0.03585035618
184	0.03542358475
185	0.0350915643
186	0.03474656869
187	0.03432582118
188	0.03399031958
189	0.03370301863
190	0.03332937335
191	0.03296643426
192	0.03269433549
193	0.03235441349
194	0.03207701127
195	0.03182802392
196	0.03151045916
197	0.03120005684
198	0.03083128633
199	0.03048698217
200	0.03016807417
201	0.0299141598
202	0.02969578051
203	0.02941787509
204	0.02905368614
205	0.02882832028
206	0.02858905079
207	0.02833855913
208	0.02811587
209	0.02786609377
210	0.02768065047
211	0.02745241133
212	0.02720074932
213	0.02702273963
214	0.02679893293
215	0.02655831886
216	0.02634955803
217	0.02614997852
218	0.02592618845
219	0.02575154796
220	0.02554413738
221	0.0253403042
222	0.0251336405
223	0.02486327228
224	0.02469102254
225	0.02450266167
226	0.0242675665
227	0.02403261114
228	0.02383751687
229	0.02365524608
230	0.02351012326
231	0.02334703541
232	0.02314105241
233	0.02298526808
234	0.02280244545
235	0.02261050004
236	0.02243475594
237	0.02226076012
238	0.02211207893
239	0.02199197522
240	0.02184173042
241	0.02166041218
242	0.02149762841
243	0.02133640757
244	0.02120990217
245	0.02105462771
246	0.02089982251
247	0.02073597082
248	0.02059241197
249	0.02044559999
250	0.02027454071
251	0.02009548915
252	0.01994238743
253	0.0198012422
254	0.01966211091
255	0.01953561016
256	0.01938725424
257	0.01924931417
258	0.01911359263
259	0.01899414626
260	0.01887365306
261	0.01875371018
262	0.01863451743
263	0.01851685071
264	0.01838071549
265	0.0182658347
266	0.01816058754
267	0.01804735278
268	0.01794525454
269	0.01784331579
270	0.01774978508
271	0.01763771892
272	0.01752987543
273	0.01740902418
274	0.01729260261
275	0.01718949147
276	0.01707061184
277	0.01698141306
278	0.01686373009
279	0.0167600366
280	0.01665856035
281	0.01655845269
282	0.01644273859
283	0.01633960399
284	0.01624079291
285	0.01616788054
286	0.01604928782
287	0.01594510017
288	0.01586303647
289	0.01577995296
290	0.01569776788
291	0.01560159622
292	0.01548435951
293	0.01538307925
294	0.01526847544
295	0.01518484889
296	0.01508921275
297	0.01499359536
298	0.01488503503
299	0.01478647063
